c_date_call,option_symbol_call,dte_call,stocks_id_call,expiration_date,call_put_call,price_strike,price_open_call,price_high_call,price_low_call,price_call,volume_call,openinterest_call,iv_call,delta_call,preiv_call,gamma_call,theta_call,vega_call,rho_call,Ask_call,Bid_call,underlying_price_call,calc_OTM_call,option_id_call,is_settlement_call,c_date_put,option_symbol_put,dte_put,stocks_id_put,call_put_put,price_open_put,price_high_put,price_low_put,price_put,volume_put,openinterest_put,iv_put,delta_put,preiv_put,gamma_put,theta_put,vega_put,rho_put,Ask_put,Bid_put,underlying_price_put,calc_OTM_put,option_id_put,is_settlement_put,vol_weighted,delta_diff
2021-12-02,AAPL  211231C00175000,29,799,2021-12-31,C,175.0,1.11,1.5,0.91,1.39,7406,16684,0.272067,0.204338,0.272067,0.022581,-0.061492,0.130898,0.025482,1.5,1.28,163.76,6.86,117821593,0,2021-12-02,AAPL  211231P00175000,29,799,P,15.5,16.3,13.05,12.625,22,556,0.272453,-0.795708,0.272453,0.022637,-0.061326,0.132616,-0.087597,13.6,11.65,163.76,-6.86,117821594,0,0.27237412553199997,0.04566200000000001
2021-12-02,AAPL  211231C00155000,29,799,2021-12-31,C,155.0,8.0,11.45,7.09,11.275,379,5241,0.328082,0.739437,0.328082,0.021442,-0.085097,0.149892,0.08725,11.95,10.6,163.76,-5.35,117821585,0,2021-12-02,AAPL  211231P00155000,29,799,P,4.1,4.32,2.34,2.435,5716,9326,0.323578,-0.258084,0.323578,0.021634,-0.083086,0.149154,-0.035514,2.57,2.3,163.76,5.35,117821586,0,0.326908424248,0.010562999999999989
2021-12-02,AAPL  211231C00157500,29,799,2021-12-31,C,157.5,6.6,10.95,6.0,9.3,302,6559,0.311006,0.687712,0.311006,0.024653,-0.087892,0.163368,0.08209,11.05,7.55,163.76,-3.82,117880809,0,2021-12-02,AAPL  211231P00157500,29,799,P,6.15,6.15,3.0,2.87,764,1583,0.301007,-0.307487,0.301007,0.025395,-0.084377,0.163153,-0.038811,3.15,2.59,163.76,3.82,117880810,0,0.307883432288,0.06228800000000001
2021-12-02,AAPL  211210C00162500,8,799,2021-12-10,C,162.5,2.04,4.1,1.72,3.75,40443,6134,0.319447,0.574298,0.319447,0.050616,-0.18994,0.095038,0.019791,4.0,3.5,163.76,-0.77,117880789,0,2021-12-02,AAPL  211210P00162500,8,799,P,6.0,7.1,2.43,2.34,9441,8139,0.303635,-0.42278,0.303635,0.053392,-0.180679,0.095351,-0.014286,2.6,2.08,163.76,0.77,117880790,0,0.31271579997599996,
2021-12-02,AAPL  211210C00165000,8,799,2021-12-10,C,165.0,1.29,2.7,1.02,2.455,96861,27272,0.31249,0.444504,0.31249,0.052148,-0.187219,0.095783,0.015416,2.55,2.36,163.76,0.76,117642409,0,2021-12-02,AAPL  211210P00165000,8,799,P,7.4,8.1,3.5,3.7,8624,6494,0.312933,-0.555445,0.312933,0.05228,-0.187874,0.096091,-0.018442,3.9,3.5,163.76,-0.76,117642410,0,0.31273608472799996,
2021-12-02,AAPL  211217C00162500,15,799,2021-12-17,C,162.5,2.88,5.05,2.48,4.8999996,11801,6929,0.321225,0.560294,0.321225,0.036982,-0.140392,0.130924,0.035693,5.1,4.7,163.76,-0.77,118048513,0,2021-12-02,AAPL  211217P00162500,15,799,P,6.6,7.0,3.4,3.575,5694,6222,0.31644,-0.439169,0.31644,0.037697,-0.138493,0.130529,-0.028087,3.7,3.45,163.76,0.77,118048514,0,0.31912100679,
2021-12-02,AAPL  211217C00165000,15,799,2021-12-17,C,165.0,2.1,3.7,1.65,3.4499998,39075,35492,0.303731,0.463685,0.303731,0.039401,-0.133702,0.13189,0.029788,3.6,3.3,163.76,0.76,115343547,0,2021-12-02,AAPL  211217P00165000,15,799,P,8.2,8.58,4.5,4.7,5528,21204,0.304659,-0.536196,0.304659,0.039452,-0.134304,0.13155,-0.033592,4.95,4.45,163.76,-0.76,115343548,0,0.30422870032000005,
2021-12-02,AAPL  211223C00162500,21,799,2021-12-23,C,162.5,3.5,5.55,2.5,5.2,2036,2189,0.290741,0.558195,0.290741,0.03456,-0.107541,0.155034,0.0496,5.6,4.8,163.76,-0.77,117880801,0,2021-12-02,AAPL  211223P00162500,21,799,P,7.2,7.2,4.0,4.175,6667,1467,0.306375,-0.44329,0.306375,0.032978,-0.11352,0.154419,-0.039735,4.5,3.85,163.76,0.77,117880802,0,0.29764817937,
2021-12-02,AAPL  211223C00165000,21,799,2021-12-23,C,165.0,2.61,4.25,2.22,3.875,4490,6290,0.28383,0.469719,0.28383,0.03568,-0.10578,0.156253,0.042027,4.1,3.65,163.76,0.76,117726793,0,2021-12-02,AAPL  211223P00165000,21,799,P,8.8,9.03,5.12,5.25,2391,1369,0.292919,-0.528595,0.292919,0.034753,-0.109309,0.155629,-0.04645,5.65,4.85,163.76,-0.76,117726794,0,0.288649724009,
2021-12-02,AAPL  211231C00162500,29,799,2021-12-31,C,162.5,4.25,6.35,4.0,5.95,2936,1716,0.288414,0.554351,0.288414,0.029688,-0.090959,0.182438,0.0674,6.5,5.4,163.76,-0.77,117880811,0,2021-12-02,AAPL  211231P00162500,29,799,P,7.3,7.45,4.65,3.6,341,1757,0.288414,-0.445647,-1.0,0.029835,-0.090952,0.183261,-0.055016,4.95,2.25,163.76,0.77,117880812,0,0.288414,
